batsman,non_pressure_runs,pressure_runs,clutch_score,ppi
A Ashish Reddy,41.0,73.0,1.7380952380952381,7.997308488612836
A Chopra,0.0,2.0,2.0,12.3125
A Choudhary,0.0,10.0,10.0,13.533333333333333
A Flintoff,24.0,16.0,0.64,14.653333333333334
A Kumble,0.0,24.0,24.0,25.373333333333335
A Mishra,53.0,148.0,2.740740740740741,11.31084656084656
A Mithun,0.0,26.0,26.0,22.72083333333333
A Mukund,0.0,0.0,0.0,10.2
A Nehra,0.0,35.0,35.0,27.34264705882353
A Singh,0.0,1.0,1.0,11.801666666666666
A Symonds,216.0,136.0,0.6267281105990783,10.955030721966207
A Uniyal,0.0,0.0,0.0,11.05
A Zampa,0.0,5.0,5.0,8.35
AA Bilakhia,23.0,17.0,0.7083333333333334,8.961309523809524
AA Chavan,0.0,4.0,4.0,11.866666666666667
AA Jhunjhunwala,0.0,75.0,75.0,47.85111111111111
AA Noffke,0.0,9.0,9.0,9.5
AB Agarkar,25.0,37.0,1.4230769230769231,14.321723646723648
AB Barath,34.0,8.0,0.22857142857142856,11.847619047619048
AB Dinda,0.0,19.0,19.0,21.06875
AB McDonald,8.0,41.0,4.555555555555555,10.975000000000001
AB de Villiers,760.0,585.0,0.7687253613666228,9.859927652434724
AC Blizzard,74.0,3.0,0.04,11.491428571428571
AC Gilchrist,883.0,243.0,0.2748868778280543,9.659630938914027
AC Thomas,0.0,20.0,20.0,20.0
AC Voges,0.0,43.0,43.0,28.878571428571426
AD Mascarenhas,16.0,19.0,1.1176470588235294,8.567914438502672
AD Mathews,51.0,263.0,5.0576923076923075,11.80791119449656
AD Nath,4.0,11.0,2.2,17.775000000000002
AD Russell,205.0,160.0,0.7766990291262136,10.144349514563107
AF Milne,0.0,7.0,7.0,6.633333333333333
AG Murtaza,0.0,8.0,8.0,12.666666666666666
AG Paunikar,25.0,0.0,0.0,6.2700000000000005
AJ Finch,592.0,160.0,0.26981450252951095,10.57149579293142
AJ Tye,0.0,28.0,28.0,23.177777777777777
AL Menaria,69.0,82.0,1.1714285714285715,11.672670807453416
AM Nayar,92.0,223.0,2.3978494623655915,10.34125806451613
AM Rahane,996.0,438.0,0.43931795386158473,8.653706595978413
AN Ahmed,4.0,28.0,5.6,11.7
AN Ghosh,0.0,0.0,0.0,3.1999999999999997
AP Dole,0.0,30.0,30.0,25.45
AP Majumdar,26.0,31.0,1.1481481481481481,6.080324074074074
AP Tare,71.0,71.0,0.9861111111111112,9.1375
AR Patel,103.0,194.0,1.8653846153846154,11.08289072039072
AS Rajpoot,0.0,2.0,2.0,5.65
AS Raut,24.0,91.0,3.64,10.728333333333333
AS Yadav,0.0,3.0,3.0,11.455555555555556
AT Rayudu,524.0,579.0,1.1028571428571428,9.855873015873016
AUK Pathan,26.0,11.0,0.4074074074074074,10.351322751322751
Abdur Razzak,0.0,0.0,0.0,12.3
Anirudh Singh,18.0,5.0,0.2631578947368421,18.106578947368423
Ankit Sharma,0.0,29.0,29.0,26.860833333333332
Anureet Singh,0.0,25.0,25.0,26.114285714285714
Azhar Mahmood,65.0,87.0,1.3181818181818181,11.531709956709955
B Akhil,30.0,15.0,0.4838709677419355,9.478299120234604
B Chipli,39.0,83.0,2.075,10.323214285714286
B Kumar,2.0,101.0,33.666666666666664,25.37222222222222
B Laughlin,0.0,4.0,4.0,7.05
B Lee,3.0,57.0,14.25,16.217982456140348
B Sumanth,6.0,16.0,2.2857142857142856,14.117857142857142
BA Bhatt,0.0,0.0,0.0,4.166666666666667
BA Stokes,98.0,85.0,0.8585858585858586,8.424747474747475
BAW Mendis,0.0,2.0,2.0,8.633333333333333
BB McCullum,982.0,213.0,0.21668362156663276,10.16004083990953
BB Samantray,15.0,0.0,0.0,6.6125
BB Sran,0.0,2.0,2.0,12.566666666666668
BCJ Cutting,15.0,26.0,1.625,6.728125
BJ Hodge,300.0,446.0,1.4817275747508305,11.442054263565892
BJ Rohrer,39.0,63.0,1.575,8.05
BMAJ Mendis,0.0,12.0,12.0,10.366666666666667
BR Dunk,5.0,20.0,3.3333333333333335,11.233333333333333
Basil Thampi,0.0,11.0,11.0,17.66
Bipul Sharma,6.0,113.0,16.142857142857142,16.64495798319328
C Munro,15.0,1.0,0.0625,8.164583333333333
C Nanda,0.0,0.0,0.0,2.6
C de Grandhomme,61.0,29.0,0.46774193548387094,12.022759856630826
CA Ingram,7.0,1.0,0.125,6.229166666666667
CA Lynn,244.0,49.0,0.2,7.5888888888888895
CA Pujara,101.0,81.0,0.7941176470588235,11.062967914438502
CH Gayle,1091.0,532.0,0.48717948717948717,9.541673076923075
CH Morris,45.0,222.0,4.826086956521739,12.710364906832297
CJ Anderson,176.0,40.0,0.22598870056497175,10.499532811820949
CJ Ferguson,21.0,35.0,1.5909090909090908,8.064204545454546
