match_id,batsman,batsman_runs,balls_faced,date,rolling_runs,rolling_balls,rolling_strike_rate,form_index
346,A Ashish Reddy,10,10,2012-04-29,10.0,10.0,100.0,0.3333333333333333
352,A Ashish Reddy,3,3,2012-05-04,13.0,13.0,100.0,30.8
359,A Ashish Reddy,8,8,2012-05-08,21.0,21.0,100.0,39.8
373,A Ashish Reddy,10,4,2012-05-18,31.0,25.0,124.0,4.0
376,A Ashish Reddy,4,5,2012-05-20,35.0,30.0,116.66666666666667,11.5
384,A Ashish Reddy,7,4,2013-04-05,32.0,24.0,133.33333333333331,12.4
388,A Ashish Reddy,14,12,2013-04-07,43.0,33.0,130.3030303030303,2.8
432,A Ashish Reddy,3,4,2013-04-09,38.0,29.0,131.0344827586207,17.2
394,A Ashish Reddy,16,9,2013-04-12,44.0,34.0,129.41176470588235,16.0
397,A Ashish Reddy,4,5,2013-04-14,44.0,34.0,129.41176470588235,8.4
402,A Ashish Reddy,19,15,2013-04-17,56.0,45.0,124.44444444444444,13.2
405,A Ashish Reddy,7,7,2013-04-19,49.0,40.0,122.50000000000001,10.0
414,A Ashish Reddy,36,16,2013-04-25,82.0,52.0,157.69230769230768,5.0
416,A Ashish Reddy,14,11,2013-04-27,80.0,54.0,148.14814814814815,6.8
428,A Ashish Reddy,5,7,2013-05-04,81.0,56.0,144.64285714285714,1.6666666666666667
529,A Ashish Reddy,13,9,2015-04-16,75.0,50.0,150.0,1.6
531,A Ashish Reddy,15,8,2015-04-18,83.0,51.0,162.7450980392157,19.0
544,A Ashish Reddy,22,8,2015-04-27,69.0,43.0,160.46511627906978,38.6
551,A Ashish Reddy,6,6,2015-05-02,61.0,38.0,160.5263157894737,22.6
572,A Ashish Reddy,17,15,2015-05-17,73.0,46.0,158.69565217391303,26.8
580,A Ashish Reddy,32,18,2016-04-12,92.0,55.0,167.27272727272725,18.0
584,A Ashish Reddy,13,9,2016-04-16,90.0,56.0,160.71428571428572,18.4
603,A Ashish Reddy,2,3,2016-04-30,70.0,51.0,137.2549019607843,3.0
373,A Chandila,0,1,2012-05-18,0.0,1.0,0.0,8.0
407,A Chandila,4,6,2013-04-20,4.0,7.0,57.14285714285714,3.0
88,A Chopra,2,5,2008-05-08,2.0,5.0,40.0,32.2
92,A Chopra,24,25,2008-05-11,26.0,30.0,86.66666666666667,12.0
95,A Chopra,13,18,2008-05-13,39.0,48.0,81.25,10.2
99,A Chopra,1,4,2008-05-16,40.0,52.0,76.92307692307693,41.0
112,A Chopra,2,3,2008-05-25,42.0,55.0,76.36363636363637,7.75
121,A Chopra,11,20,2009-04-19,51.0,70.0,72.85714285714285,32.6
1,A Choudhary,6,2,2017-04-05,6.0,2.0,300.0,10.0
30,A Choudhary,15,12,2017-04-27,21.0,14.0,150.0,27.2
42,A Choudhary,4,6,2017-05-05,25.0,20.0,125.0,14.0
118,A Flintoff,24,25,2009-04-18,24.0,25.0,96.0,30.0
122,A Flintoff,22,14,2009-04-20,46.0,39.0,117.94871794871796,41.2
125,A Flintoff,16,18,2009-04-23,62.0,57.0,108.77192982456141,14.8
84,A Kumble,3,7,2008-05-05,3.0,7.0,42.857142857142854,44.8
94,A Kumble,0,1,2008-05-12,3.0,8.0,37.5,57.0
101,A Kumble,8,8,2008-05-17,11.0,16.0,68.75,24.6
107,A Kumble,2,1,2008-05-21,13.0,17.0,76.47058823529412,3.0
122,A Kumble,1,5,2009-04-20,14.0,22.0,63.63636363636363,41.4
124,A Kumble,1,1,2009-04-22,12.0,16.0,75.0,60.2
127,A Kumble,5,3,2009-04-24,17.0,18.0,94.44444444444444,12.2
